Town,Address,Sale Price,Sale Date
BAYCHESTER,1137 EAST 213 STREET,300000,10/16/19
BAYCHESTER,3005 WICKHAM AVENUE,400000,10/16/19
BAYCHESTER,3229 EASTCHESTER ROAD,580000,10/16/19
BAYCHESTER,4075 BOSTON ROAD,2098200,10/16/19
BAYCHESTER,N/A CONNER STREET,501800,10/16/19
BELMONT,626 CRESCENT AVENUE,590000,10/16/19
BELMONT,2330 BELMONT AVENUE,575000,10/16/19
CASTLE HILL/UNIONPORT,"1966 NEWBOLD AVENUE, 904",132000,10/16/19
CITY ISLAND,"238 BOWNE STREET, 254-A",373100,10/16/19
KINGSBRIDGE HTS/UNIV HTS,"2400 DAVIDSON AVENUE, B21",106000,10/16/19
KINGSBRIDGE/JEROME PARK,"290 WEST 232 STREET, 19E",265000,10/16/19
MELROSE/CONCOURSE,"811 WALTON AVENUE, E7",255000,10/16/19
MORRISANIA/LONGWOOD,"1122 INTERVALE AVENUE, 2A",190000,10/16/19
PARKCHESTER,1864 GUERLAIN STREET,650000,10/16/19
PARKCHESTER,"1946 EAST TREMONT AVENUE, 2H",244000,10/16/19
PELHAM PARKWAY NORTH,2210 FENTON AVENUE,642000,10/16/19
RIVERDALE,"640 WEST 231ST STREET, 7G",375000,10/16/19
RIVERDALE,"750 KAPPOCK STREET, 306",340000,10/16/19
RIVERDALE,"3001 HENRY HUDSON PKWY, 4F",590000,10/16/19
SOUNDVIEW,1830 LACOMBE AVENUE,500000,10/16/19
WAKEFIELD,1907 PITMAN AVENUE,499999,10/16/19
WESTCHESTER,2228 SAINT RAYMOND AVENUE,705000,10/16/19
WILLIAMSBRIDGE,729 EAST 211TH STREET,710000,10/16/19
WILLIAMSBRIDGE,937 EAST 227TH STREET,1,10/16/19
BAYCHESTER,1802 SCHIEFFELIN AVENUE,331606,10/17/19
BAYCHESTER,3310 PEARSALL AVENUE,633450,10/17/19
BAYCHESTER,1756 ARNOW AVENUE,695000,10/17/19
BAYCHESTER,4023 PRATT AVENUE,690000,10/17/19
BEDFORD PARK/NORWOOD,"3201 GRAND CONCOURSE, 3A",135700,10/17/19
EAST TREMONT,591 EAST TREMONT AVENUE,5055000,10/17/19
MORRISANIA/LONGWOOD,411 EAST 154 STREET,1650000,10/17/19
PARKCHESTER,589 VAN NEST AVENUE,700000,10/17/19
PARKCHESTER,"1450 PARKCHESTER ROAD, MH",129500,10/17/19
PARKCHESTER,"1705 PURDY, 3C",226664,10/17/19
PELHAM PARKWAY NORTH,1284 MACE AVENUE,10,10/17/19
RIVERDALE,"5500 FIELDSTON RD, 8BB",160000,10/17/19
RIVERDALE,"5700 ARLINGTON AVENUE, 19J",789504,10/17/19
SCHUYLERVILLE/PELHAM BAY,1271 HOBART AVENUE,625456,10/17/19
SCHUYLERVILLE/PELHAM BAY,1367 ELLISON AVENUE,823140,10/17/19
THROGS NECK,501 EDISON AVENUE,394000,10/17/19
WAKEFIELD,4420 BRUNER AVENUE,354900,10/17/19
WILLIAMSBRIDGE,958 EAST 228 STREET,649000,10/17/19
BAYCHESTER,3315 KINGSLAND AVENUE,450000,10/18/19
BAYCHESTER,3172 FENTON AVENUE,529000,10/18/19
BAYCHESTER,1754 GIVAN AVENUE,846464,10/18/19
BEDFORD PARK/NORWOOD,177 E MOSHOLU PARKWAY N,850000,10/18/19
BEDFORD PARK/NORWOOD,108 EAST 208 STREET,800000,10/18/19
EAST TREMONT,1943 CLINTON AVENUE,539000,10/18/19
KINGSBRIDGE HTS/UNIV HTS,"1 FORDHAM HILL OVAL, 6D",155000,10/18/19
KINGSBRIDGE/JEROME PARK,"3636 GREYSTONE AVENUE, 6H",210000,10/18/19
KINGSBRIDGE/JEROME PARK,"3099 HEATH AVENUE, 2A",407238,10/18/19
MORRIS PARK/VAN NEST,1865 BRONXDALE AVENUE,730000,10/18/19
MORRIS PARK/VAN NEST,1565 PAULDING AVE,525000,10/18/19
MOTT HAVEN/PORT MORRIS,14 BRUCKNER BLVD,8000000,10/18/19
MOUNT HOPE/MOUNT EDEN,247 EAST 175 STREET,445000,10/18/19
PARKCHESTER,"1553 UNIONPORT ROAD, 1F",273000,10/18/19
RIVERDALE,"4601 HENRY HUDSON PARKWAY, A16",283093,10/18/19
RIVERDALE,"640 WEST 237 STREET, 12B",1305000,10/18/19
SOUNDVIEW,"102 NEPTUNE LANE, 15102",442000,10/18/19
SOUNDVIEW,"327 ADMIRAL LANE, 1327D",293046,10/18/19
THROGS NECK,273 LOGAN AVENUE,10,10/18/19
WILLIAMSBRIDGE,1043 EAST 219 STREET,455000,10/18/19
WILLIAMSBRIDGE,853 EAST 232 STREET,203500,10/18/19
WOODLAWN,340 EAST 235 STREET,422000,10/18/19
BAYCHESTER,3310 MICKLE AVENUE,115000,10/20/19
BAYCHESTER,1609 ADEE AVENUE,450000,10/21/19
BAYCHESTER,4088 WILDER AVENUE,635000,10/21/19
CITY ISLAND,94 CAROLL STREET,185000,10/21/19
CITY ISLAND,"33 ISLAND POINT, 33",944936,10/21/19
EAST TREMONT,2157 PROSPECT AVENUE,10,10/21/19
EAST TREMONT,817 ELSMERE PL,595000,10/21/19
HIGHBRIDGE/MORRIS HEIGHTS,"1001 ANDERSON AVENUE, 53",135000,10/21/19
KINGSBRIDGE HTS/UNIV HTS,"6 FORDHAM HILL, 6G",93000,10/21/19
KINGSBRIDGE/JEROME PARK,"180 VAN CORTLANDT PARK SOUTH, 3H",250000,10/21/19
MELROSE/CONCOURSE,"800 GRAND CONCOURSE, 1-EN",339000,10/21/19
MORRISANIA/LONGWOOD,"785 EAST 160TH STREET, 2",16953,10/21/19
PARKCHESTER,"1523 UNIONPORT ROAD, 5F",125000,10/21/19
RIVERDALE,"2400 JOHNSON AVENUE, 12B",249000,10/21/19
RIVERDALE,"640 WEST 231ST, 4J",205000,10/21/19
SOUNDVIEW,1752 GLEASON AVENUE,800000,10/21/19
THROGS NECK,2756 MILES AVENUE,543000,10/21/19
WAKEFIELD,4143 BAYCHESTER AVENUE,477000,10/21/19
WESTCHESTER,2428 BUCK STREET,759000,10/21/19
WILLIAMSBRIDGE,647 EAST 221ST STREET,702000,10/21/19
WILLIAMSBRIDGE,655 EAST 227TH STREET,665000,10/21/19
WOODLAWN,229 EAST 237 STREET,745000,10/21/19
BRONXDALE,3334 HONE AVENUE,480000,10/22/19
COUNTRY CLUB,3214 RANDALL AVENUE,550000,10/22/19
COUNTRY CLUB,1520 ROBERTSON PLACE,835000,10/22/19
HIGHBRIDGE/MORRIS HEIGHTS,1319 NELSON AVENUE,540000,10/22/19
PARKCHESTER,"2120 EAST TREMONT AVENUE, 2E",166000,10/22/19
PARKCHESTER,1600 CASTLE HILL AVENUE,300000,10/22/19
PELHAM PARKWAY NORTH,1219 WARING AVENUE,670000,10/22/19
PELHAM PARKWAY SOUTH,"2102 HOLLAND AVENUE, 6C",156000,10/22/19
RIVERDALE,6022 FIELDSTON ROAD,925000,10/22/19
SOUNDVIEW,1335 STRATFORD AVENUE,450000,10/22/19
SOUNDVIEW,"107 FLEET CT, 14107",357500,10/22/19
THROGS NECK,2961 SCHLEY AVENUE,560000,10/22/19
WAKEFIELD,4236 CARPENTER AVENUE,577500,10/22/19
WILLIAMSBRIDGE,946 EAST 222 STREET,965000,10/22/19
WILLIAMSBRIDGE,N/A EAST 222 STREET,965000,10/22/19
WILLIAMSBRIDGE,948 EAST 222 STREET,965000,10/22/19
BRONX PARK,3300 WEBSTER AVENUE,2000000,10/23/19
CASTLE HILL/UNIONPORT,419 CASTLE HILL AVENUE,250000,10/23/19
CASTLE HILL/UNIONPORT,2053 HOMER AVE,520000,10/23/19
CASTLE HILL/UNIONPORT,2141 WATSON AVENUE,775000,10/23/19
CASTLE HILL/UNIONPORT,2145 WATSON AVENUE,775000,10/23/19
CITY ISLAND,345 KING AVENUE,400000,10/23/19
FIELDSTON,5112 POST ROAD,795000,10/23/19
FIELDSTON,"255 FIELDSTON TERRACE, 2M",162000,10/23/19
FORDHAM,2439 CRESTON AVENUE,1025000,10/23/19
MOUNT HOPE/MOUNT EDEN,370 EAST 173 STREET,750000,10/23/19
PARKCHESTER,"1936 EAST TREMONT AVENUE, 2D",165000,10/23/19
PARKCHESTER,"2140 EAST TREMONT AVENUE, 7D",179000,10/23/19
PELHAM PARKWAY SOUTH,1821 NARRAGANSETT AVENUE,682000,10/23/19
RIVERDALE,"750 KAPPOCK STREET, 106",280000,10/23/19
RIVERDALE,"4555 HENRY HUDSON PARKWAY, A607",429000,10/23/19
RIVERDALE,"4525 HENRY HUDSON PARKWAY, B311",270000,10/23/19
RIVERDALE,"4901 HENRY HUDSON PARKWAY, 6B",220000,10/23/19
RIVERDALE,"80 KNOLLS CRESCENT, 4F",43725,10/23/19
SCHUYLERVILLE/PELHAM BAY,2931 WESTCHESTER AVENUE,2900000,10/23/19
SOUNDVIEW,"118 BEACON LANE, 72",370000,10/23/19
THROGS NECK,2922 SCOTT PLACE,649000,10/23/19
THROGS NECK,923 SWINTON AVENUE,690000,10/23/19
WAKEFIELD,905 CRANFORD AVENUE,210000,10/23/19
WILLIAMSBRIDGE,719 EAST 218TH STREET,575000,10/23/19
WILLIAMSBRIDGE,653 EAST 220 STREET,809000,10/23/19
BATHGATE,507 EAST 183 STREET,440000,10/24/19
BRONXDALE,2972 LACONIA AVENUE,787000,10/24/19
CASTLE HILL/UNIONPORT,2093 HOMER AVENUE,470496,10/24/19
CASTLE HILL/UNIONPORT,2123 QUIMBY AVENUE,498200,10/24/19
CASTLE HILL/UNIONPORT,1962 ELLIS AVENUE,700000,10/24/19
FORDHAM,2093 RYER AVENUE,695000,10/24/19
MORRISANIA/LONGWOOD,"950 HOE AVENUE, 4B",30000,10/24/19
PARKCHESTER,1718 TAYLOR AVENUE,505000,10/24/19
PARKCHESTER,"1563 METROPOLITAN AVENUE, MA",175000,10/24/19
RIVERDALE,"3512 OXFORD AVENUE, 6D",225000,10/24/19
RIVERDALE,"3205 ARLINGTON AVENUE, 5B",728000,10/24/19
RIVERDALE,"3205 ARLINGTON AVENUE, P2",728000,10/24/19
SOUNDVIEW,1319 HARDING PARK,135000,10/24/19
SOUNDVIEW,1281 CROES AVENUE,700000,10/24/19
WAKEFIELD,4510 WHITE PLAINS ROAD,5375000,10/24/19
WESTCHESTER,2527B FRISBY AVENUE,880000,10/24/19
WOODLAWN,"4380 VIREO AVENUE, 4T",219000,10/24/19
WOODLAWN,"4295 WEBSTER AVENUE, 3A",211907,10/24/19
BRONXDALE,2917 YATES,80286,10/25/19
HIGHBRIDGE/MORRIS HEIGHTS,"1045 ANDERSON AVE, 1E",75000,10/25/19
MELROSE/CONCOURSE,364 EAST 167 STREET,666000,10/25/19
MORRIS PARK/VAN NEST,1711A COLDEN AVENUE,420000,10/25/19
MORRISANIA/LONGWOOD,685 EAGLE AVENUE,530000,10/25/19
MORRISANIA/LONGWOOD,"1010 FAILE STREET, 1010A",167209,10/25/19
MOTT HAVEN/PORT MORRIS,292 ALEXANDER AVENUE,935000,10/25/19
PARKCHESTER,624 MEAD STREET,650000,10/25/19
PARKCHESTER,"63 METROPOLITAN OVAL, 4H",245000,10/25/19
PELHAM PARKWAY SOUTH,"2104 HOLLAND AVENUE, 3H",139200,10/25/19
PELHAM PARKWAY SOUTH,"2090 BARNES AVENUE, 4C",235000,10/25/19
PELHAM PARKWAY SOUTH,"2191 BOLTON STREET, 3F",140000,10/25/19
SCHUYLERVILLE/PELHAM BAY,1502 CROSBY AVENUE,480000,10/25/19
SOUNDVIEW,525 BEACH AVENUE,649999,10/25/19
WAKEFIELD,4380 BYRON AVENUE,498000,10/25/19
WAKEFIELD,4142 WICKHAM AVENUE,569000,10/25/19
WESTCHESTER,1512 LURTING AVENUE,785000,10/25/19
WILLIAMSBRIDGE,825 EAST 231 STREET,760000,10/25/19
WILLIAMSBRIDGE,639 EAST 225TH STREET,519000,10/25/19
WILLIAMSBRIDGE,3943 LACONIA AVENUE,1119984,10/25/19
WOODLAWN,321 EAST 242 STREET,580000,10/25/19
SCHUYLERVILLE/PELHAM BAY,2873 HARRINGTON AVENUE,150000,10/26/19
BAYCHESTER,1838 SCHIEFFELIN AVE,283000,10/28/19
CITY ISLAND,"7 ISLAND POINT, 7",730000,10/28/19
COUNTRY CLUB,712 WILCOX AVENUE,437250,10/28/19
COUNTRY CLUB,1424 ROBERTSON PLACE,550000,10/28/19
EAST TREMONT,648 EAST 180 STREET,10,10/28/19
FIELDSTON,"4410 CAYUGA AVENUE, 4B",155000,10/28/19
MELROSE/CONCOURSE,"1020 GRAND CONCOURSE, 14-J",452000,10/28/19
MORRISANIA/LONGWOOD,1130 JACKSON AVENUE,10000,10/28/19
MORRISANIA/LONGWOOD,1133 VYSE AVE,812500,10/28/19
MOTT HAVEN/PORT MORRIS,325 EXTERIOR STREET,36000000,10/28/19
PARKCHESTER,1516 COMMONWEALTH AVENUE,650000,10/28/19
PARKCHESTER,"1 METROPOLITAN OVAL, 1A",260000,10/28/19
RIVERDALE,"735 KAPPOCK STREET, 8E",275000,10/28/19
SCHUYLERVILLE/PELHAM BAY,2811 WELLMAN AVENUE,725000,10/28/19
WAKEFIELD,4335 CARPENTER AVE,350000,10/28/19
WAKEFIELD,4232 BRONXWOOD AVENUE,850000,10/28/19
WESTCHESTER,2248 HAVILAND AVE,610000,10/28/19
WILLIAMSBRIDGE,3804 BRONX BOULEVARD,435000,10/28/19
WOODLAWN,"4315 WEBSTER AVE, 4J",131721,10/28/19
WOODLAWN,"4295 WEBSTER AVENUE, 4E",192568,10/28/19
BAYCHESTER,3455 ELY AVENUE,725000,10/29/19
FIELDSTON,4500 DELAFIELD AVENUE,990000,10/29/19
HIGHBRIDGE/MORRIS HEIGHTS,"1711 DAVIDSON AVENUE, 1P",26250,10/29/19
