NEIGHBORHOOD,ADDRESS,Sale_Price,SALE_DATE
COBBLE HILL,"134 BALTIC STREET, 4B",1165000,1/13/20
COBBLE HILL-WEST,"60 TIFFANY PLACE, 3A",1275000,1/13/20
CROWN HEIGHTS,178 SULLIVAN PLACE,1427000,1/13/20
CROWN HEIGHTS,271 NEW YORK AVENUE,3120000,1/13/20
CROWN HEIGHTS,"838 PARK PLACE, 4W",370000,1/13/20
CROWN HEIGHTS,"345 MONTGOMERY STREET, 4L",812000,1/13/20
CYPRESS HILLS,31 LOGAN STREET,979000,1/13/20
DOWNTOWN-FULTON MALL,"85 LIVINGSTON STREET, 4F",550000,1/13/20
DOWNTOWN-FULTON MALL,"10 NEVINS STREET, 8G",883841,1/13/20
DYKER HEIGHTS,934 76TH STREET,955000,1/13/20
DYKER HEIGHTS,1239 71ST STREET,1100000,1/13/20
EAST NEW YORK,559 CLEVELAND STREET,455000,1/13/20
EAST NEW YORK,262 MONTAUK AVENUE,720000,1/13/20
EAST NEW YORK,777 NEW JERSEY AVENUE,855000,1/13/20
EAST NEW YORK,449 BERRIMAN STREET,340000,1/13/20
FLATBUSH-EAST,4205 AVE J,200000,1/13/20
FLATBUSH-NORTH,99 EAST 37TH STREET,460000,1/13/20
FORT GREENE,"105 ASHLAND PLACE, 8C",510000,1/13/20
GOWANUS,195 8 STREET,1920000,1/13/20
KENSINGTON,322 EAST 7TH STREET,1115000,1/13/20
MADISON,2819 AVENUE P,1097000,1/13/20
MARINE PARK,2169 EAST 35TH STREET,723000,1/13/20
MIDWOOD,2321 AVENUE I,2200010,1/13/20
MIDWOOD,2315 AVENUE I,1999990,1/13/20
OCEAN PARKWAY-NORTH,1523 OCEAN PARKWAY,2999990,1/13/20
OCEAN PARKWAY-NORTH,"1250 OCEAN PARKWAY, 3D",305000,1/13/20
OCEAN PARKWAY-SOUTH,912 AVENUE S,1150000,1/13/20
OCEAN PARKWAY-SOUTH,128 STRYKER STREET,1338000,1/13/20
PARK SLOPE,495 13TH STREET,3370000,1/13/20
PARK SLOPE,708 DEGRAW STREET,1925000,1/13/20
PROSPECT HEIGHTS,"274 ST. JOHN'S PLACE, 1A",635000,1/13/20
PROSPECT HEIGHTS,"77 EASTERN PARKWAY, 2B",802236,1/13/20
PROSPECT HEIGHTS,"115 EASTERN PARKWAY, 3H",1180000,1/13/20
SHEEPSHEAD BAY,2340 E 28TH ST,990000,1/13/20
SHEEPSHEAD BAY,"2165 BRIGHAM STREET, 4A",147000,1/13/20
SHEEPSHEAD BAY,"1901 VOORHIES AVENUE, 4",740000,1/13/20
WILLIAMSBURG-EAST,702 GRAND STREET,2250000,1/13/20
WILLIAMSBURG-SOUTH,77 A SOUTH 4TH STREET,1758000,1/13/20
BAY RIDGE,119 84TH STREET,1550000,1/14/20
BAY RIDGE,"8502 FORT HAMILTON PARKWAY, 5H",335000,1/14/20
BAY RIDGE,"61 OLIVER STREET, 1M",520000,1/14/20
BEDFORD STUYVESANT,"339 NOSTRAND AVENUE, 401C",485000,1/14/20
BEDFORD STUYVESANT,"366 GATES AVENUE, 1A",547000,1/14/20
BENSONHURST,1965 74TH STREET,1260000,1/14/20
BENSONHURST,8017 14TH AVENUE,175000,1/14/20
BENSONHURST,1758 79 STREET,1477500,1/14/20
BERGEN BEACH,"1090 EAST 73RD STREET, 67",410000,1/14/20
BERGEN BEACH,"1090 EAST 73RD STREET, G33",410000,1/14/20
BOERUM HILL,124 HOYT STREET,3515000,1/14/20
BOERUM HILL,207 COURT STREET,2650000,1/14/20
BOROUGH PARK,"1230 57TH STREET, 2",990000,1/14/20
BOROUGH PARK,"1231 65TH STREET, B",420000,1/14/20
BOROUGH PARK,"949 60TH STREET, 4C",395460,1/14/20
BOROUGH PARK,"947 55TH STREET, 3A",450000,1/14/20
BROOKLYN HEIGHTS,"73 COLUMBIA HEIGHTS, GL1",707000,1/14/20
BROOKLYN HEIGHTS,"54 ORANGE STREET, 3G",615000,1/14/20
BUSH TERMINAL,258 54TH STREET,910000,1/14/20
BUSH TERMINAL,250 46TH STREET,5550000,1/14/20
BUSH TERMINAL,256 46TH STREET,5550000,1/14/20
BUSH TERMINAL,258 46TH STREET,5550000,1/14/20
BUSH TERMINAL,262 46TH STREET,5550000,1/14/20
BUSH TERMINAL,266 46TH STREET,5550000,1/14/20
BUSHWICK,1312 MYRTLE AVENUE,690000,1/14/20
BUSHWICK,"245 SCHAEFER STREET, 4A",580000,1/14/20
CANARSIE,10515 FLATLANDS 3 STREET,565000,1/14/20
CANARSIE,1383 E 93RD ST,442000,1/14/20
CANARSIE,9405 SKIDMORE AVENUE,799000,1/14/20
CARROLL GARDENS,"385 CLINTON STREET, 2",1450000,1/14/20
CONEY ISLAND,"2925 WEST 5 STREET, 6D",335000,1/14/20
CROWN HEIGHTS,"764 BERGEN ST, 4B",885000,1/14/20
CROWN HEIGHTS,813 BERGEN STREET,6103125,1/14/20
CROWN HEIGHTS,876 DEAN STREET,6103125,1/14/20
CYPRESS HILLS,33 HALE AVENUE,475000,1/14/20
DYKER HEIGHTS,8513 11TH AVENUE,775000,1/14/20
DYKER HEIGHTS,1321 67TH STREET,1100000,1/14/20
FLATBUSH-CENTRAL,1316 BEVERLEY ROAD,1050000,1/14/20
FLATBUSH-EAST,4723 AVENUE H,649000,1/14/20
FLATBUSH-EAST,1444 TROY AVENUE,777000,1/14/20
FLATBUSH-NORTH,"518 MAPLE STREET, 3",681159,1/14/20
FORT GREENE,"122 ASHLAND PLACE, 12D",520000,1/14/20
GOWANUS,183A 13TH STREET,1470000,1/14/20
GRAVESEND,1811 SHORE PARKWAY,1250000,1/14/20
MADISON,"1730 EAST 14 STREET, #6H",150000,1/14/20
MARINE PARK,1934 HENDRICKSON STREET,648900,1/14/20
MILL BASIN,2254 EAST 66TH STREET,1200000,1/14/20
OCEAN HILL,485 BAINBRIDGE STREET,1125000,1/14/20
OCEAN HILL,1391 HERKIMER STREET,433000,1/14/20
OCEAN PARKWAY-NORTH,727 AVENUE M,1450000,1/14/20
OCEAN PARKWAY-SOUTH,"2650 OCEAN PARKWAY, 3A",237000,1/14/20
PARK SLOPE,232 SAINT JOHN'S PLACE,3250000,1/14/20
PARK SLOPE,"18 LINCOLN PLACE, 2R",925000,1/14/20
PARK SLOPE,"225 LINCOLN PLACE, 2E",664500,1/14/20
PARK SLOPE,"180 STERLING PLACE, 9",545000,1/14/20
PROSPECT HEIGHTS,"21 BUTLER PLACE, 3B",523584,1/14/20
SHEEPSHEAD BAY,2618 EAST 29TH STREET,635000,1/14/20
SHEEPSHEAD BAY,"18 LAKE AVENUE, 3",695000,1/14/20
SHEEPSHEAD BAY,"18 LAKE AVENUE, P5",695000,1/14/20
SHEEPSHEAD BAY,"1711 SHEEPSHEAD BAY ROAD, P17",50000,1/14/20
SUNSET PARK,635 53RD STREET,1200000,1/14/20
SUNSET PARK,"4113 SEVENTH AVE, 13",275000,1/14/20
WILLIAMSBURG-EAST,147 LEONARD STREET,3820000,1/14/20
WILLIAMSBURG-NORTH,69 HAVEMEYER STREET,5850000,1/14/20
WILLIAMSBURG-NORTH,"184 KENT AVENUE, D403",989244,1/14/20
BATH BEACH,8621 15TH AVENUE,10,1/15/20
BAY RIDGE,637 78 ST,995000,1/15/20
BAY RIDGE,8223 COLONIAL ROAD,1835000,1/15/20
BAY RIDGE,528 79 STREET,1660000,1/15/20
BAY RIDGE,"9917 SHORE ROAD, 8B",425000,1/15/20
BAY RIDGE,"9917 SHORE ROAD, P7",425000,1/15/20
BAY RIDGE,"9917 SHORE ROAD, S5",425000,1/15/20
BEDFORD STUYVESANT,556 MAC DONOUGH STREET,543622,1/15/20
BEDFORD STUYVESANT,508 LEXINGTON AVENUE,997500,1/15/20
BEDFORD STUYVESANT,303 HALSEY STREET,1550000,1/15/20
BEDFORD STUYVESANT,"491 MONROE ST, 2A",485000,1/15/20
BROWNSVILLE,577 POWELL STREET,243000,1/15/20
BUSH TERMINAL,5201 1 AVENUE,40500000,1/15/20
BUSHWICK,1493 MYRTLE AVENUE,740000,1/15/20
CANARSIE,1525 EAST 94TH STREET,555000,1/15/20
CANARSIE,1118 EAST 99TH STREET,585000,1/15/20
CANARSIE,1403 EAST 103 STREET,350000,1/15/20
CLINTON HILL,171 GATES AVENUE,1975000,1/15/20
CROWN HEIGHTS,682 LINCOLN PLACE,1030000,1/15/20
CROWN HEIGHTS,1489 ST JOHNS PLACE,525000,1/15/20
CROWN HEIGHTS,"954 BERGEN STREET, P2",40000,1/15/20
CROWN HEIGHTS,"954 BERGEN STREET, P3",32000,1/15/20
DOWNTOWN-FULTON MALL,"10 NEVINS STREET, 17C",1017887,1/15/20
EAST NEW YORK,298 BRADFORD STREET,540000,1/15/20
FLATBUSH-CENTRAL,1248 FLATBUSH AVENUE,995000,1/15/20
FLATBUSH-CENTRAL,1250 FLATBUSH AVENUE,995000,1/15/20
FLATBUSH-CENTRAL,1252 FLATBUSH AVENUE,1210000,1/15/20
FLATBUSH-CENTRAL,405 EAST 29TH STREET,995000,1/15/20
FLATBUSH-CENTRAL,500 EAST 24TH STREET,1915000,1/15/20
FLATBUSH-CENTRAL,177 LENOX ROAD,2500000,1/15/20
FLATBUSH-CENTRAL,"5 STRATFORD ROAD, 6",675000,1/15/20
FLATBUSH-CENTRAL,"1155 OCEAN AVENUE, 1F",490000,1/15/20
FLATBUSH-NORTH,555 MAPLE STREET,10,1/15/20
FLATLANDS,"1165 EAST 54TH, 4W",175000,1/15/20
FORT GREENE,"125 ASHLAND PLACE, 3D",785000,1/15/20
FORT GREENE,"96 ROCKWELL PLACE, 8A",860000,1/15/20
GOWANUS,"500 4TH AVENUE, 11D",1150000,1/15/20
GRAVESEND,"2652 CROPSEY AVENUE, 10D",360000,1/15/20
GREENPOINT,543 GARDNER AVENUE,4175000,1/15/20
GREENPOINT,541 GARDNER AVENUE,4175000,1/15/20
GREENPOINT,518 GARDNER,2600000,1/15/20
KENSINGTON,"227 OCEAN PARKWAY, 3M",607505,1/15/20
MADISON,1964 E 24TH STREET,975000,1/15/20
MILL BASIN,130 WHITMAN DRIVE,995000,1/15/20
OCEAN HILL,608 MACDONOUGH STREET,1600000,1/15/20
OCEAN HILL,365 BAINBRIDGE STREET,1150000,1/15/20
OCEAN PARKWAY-NORTH,"800 CORTELYOU ROAD, 4F",510000,1/15/20
OCEAN PARKWAY-NORTH,"1170 OCEAN PARKWAY, 9A",120000,1/15/20
OCEAN PARKWAY-NORTH,"770 OCEAN PARKWAY, 4J",375000,1/15/20
PARK SLOPE,"78 8TH AVENUE, 4B",822000,1/15/20
PROSPECT HEIGHTS,"20 PLAZA STREET EAST, D8",820000,1/15/20
PROSPECT HEIGHTS,"295 ST. JOHNS PLACE, 1A",670000,1/15/20
PROSPECT HEIGHTS,"338 PROSPECT PLACE, 2E",625000,1/15/20
SHEEPSHEAD BAY,2602 AVENUE X,1160000,1/15/20
SHEEPSHEAD BAY,"2711 AVENUE X, 2F",355000,1/15/20
SHEEPSHEAD BAY,"2427 EAST 29TH STREET, 1L",297500,1/15/20
SHEEPSHEAD BAY,"4665 BEDFORD AVENUE, 2L",258570,1/15/20
SUNSET PARK,"4407 4TH AVENUE, B1",589000,1/15/20
WILLIAMSBURG-CENTRAL,"577 FLUSHING AVENUE, 6R",999000,1/15/20
WILLIAMSBURG-CENTRAL,"577 FLUSHING AVENUE, 6F",610950,1/15/20
WILLIAMSBURG-EAST,"77 KINGSLAND AVENUE, 2R",750000,1/15/20
WILLIAMSBURG-NORTH,426 RODNEY STREET,2999900,1/15/20
WILLIAMSBURG-NORTH,250 NORTH 10 STREET,137750000,1/15/20
WILLIAMSBURG-NORTH,114-116 HOPE STREET,5400000,1/15/20
BAY RIDGE,221 79TH STREET,1800000,1/16/20
BAY RIDGE,314 80TH STREET,900000,1/16/20
BAY RIDGE,"322 101ST STREET, 38B",641000,1/16/20
BAY RIDGE,"6901 NARROWS AVE., 1B",290000,1/16/20
BEDFORD STUYVESANT,230 TOMPKINS AVENUE,760000,1/16/20
BEDFORD STUYVESANT,667 MACON STREET,1300000,1/16/20
BEDFORD STUYVESANT,276 GATES AVENUE,1200000,1/16/20
BEDFORD STUYVESANT,"399 GATES AVENUE, 3B",565000,1/16/20
BOROUGH PARK,1672 51ST STREET,3500000,1/16/20
BOROUGH PARK,855 53RD STREET,1410000,1/16/20
BROOKLYN HEIGHTS,57 WILLOW STREET,10800000,1/16/20
BROOKLYN HEIGHTS,29 ORANGE STREET,10800000,1/16/20
BROOKLYN HEIGHTS,"360 FURMAN STREET, 844",1310000,1/16/20
BROOKLYN HEIGHTS,"360 FURMAN STREET, 922",2300000,1/16/20
BUSHWICK,"1229 PUTNAM AVENUE, 5B",794235,1/16/20
BUSHWICK,"1229 PUTNAM AVENUE, P2",794235,1/16/20
CANARSIE,588 EAST 83RD STREET,10,1/16/20
CANARSIE,"8624 AVENUE L, 104",275000,1/16/20
CARROLL GARDENS,226 UNION STREET,2900000,1/16/20
CLINTON HILL,"372 DEKALB AVENUE, 3J",1075000,1/16/20
CONEY ISLAND,"2915 WEST 5TH STREET, 6C",435000,1/16/20
CROWN HEIGHTS,1524 UNION STREET,1225000,1/16/20
CROWN HEIGHTS,639 STERLING PLACE,2827745,1/16/20
CROWN HEIGHTS,637 STERLING PLACE,2909745,1/16/20
CROWN HEIGHTS,629 STERLING PLACE,2488374,1/16/20
CROWN HEIGHTS,1015 MONTGOMERY STREET,900000,1/16/20
DOWNTOWN-FULTON MALL,"10 NEVINS STREET, 19I",985666,1/16/20
DOWNTOWN-FULTON MALL,100 LIVINGSTON ST,10500000,1/16/20
DYKER HEIGHTS,1058 78TH STREET,1115000,1/16/20
DYKER HEIGHTS,1366 84TH STREET,990000,1/16/20
EAST NEW YORK,569 VAN SICLEN AVE,674000,1/16/20
FLATBUSH-CENTRAL,1103 CHURCH AVENUE,1650000,1/16/20
FLATBUSH-CENTRAL,54 MARTENSE STREET,1425000,1/16/20
FLATBUSH-EAST,1605 NOSTRAND AVENUE,999000,1/16/20
FLATBUSH-LEFFERTS GARDEN,308 LINCOLN ROAD,2665480,1/16/20
FLATBUSH-NORTH,716 FENIMORE STREET,940000,1/16/20
FORT GREENE,"381 CARLTON AVENUE, 5EAST",1041078,1/16/20
GRAVESEND,1845 WEST 11TH STREET,1138000,1/16/20
GRAVESEND,2011 WEST 12,998000,1/16/20
GRAVESEND,2017 WEST 10TH STREET,1250000,1/16/20
GREENPOINT,73 NEWEL STREET,1850000,1/16/20
MADISON,"3203 NOSTRAND AVENUE, 3B",240000,1/16/20
MADISON,"2533 OCEAN AVENUE, 7B",385320,1/16/20
MADISON,"2421 OCEAN AVENUE, PS14",30000,1/16/20
MADISON,"2533 OCEAN AVENUE, P8",385320,1/16/20
MARINE PARK,1721 COLEMAN STREET,625000,1/16/20
MARINE PARK,1911 EAST 36TH STREET,580000,1/16/20
MIDWOOD,1462 EAST 18TH STREET,2975000,1/16/20
MIDWOOD,1794 OCEAN AVE.,850000,1/16/20
OCEAN HILL,376 SARATOGA AVE,715000,1/16/20
PARK SLOPE,"20 GARFIELD PLACE, 2B",1700000,1/16/20
PROSPECT HEIGHTS,"34 PLAZA STREET EAST, 805",650000,1/16/20
SUNSET PARK,257 17TH STREET,973500,1/16/20
WILLIAMSBURG-EAST,"710 GRAND STREET, 6F",600768,1/16/20
WILLIAMSBURG-EAST,"77 KINGSLAND AVENUE, 4R",1050000,1/16/20
WILLIAMSBURG-NORTH,"76 ROEBLING STREET, 1B",1600000,1/16/20
WILLIAMSBURG-NORTH,"22 NORTH 6TH STREET, 7N",730000,1/16/20
WILLIAMSBURG-NORTH,"80 METROPOLITAN AVENUE, 2N",1400000,1/16/20
WILLIAMSBURG-NORTH,"80 METROPOLITAN AVENUE, C-5",100000,1/16/20
WINDSOR TERRACE,"140 EAST 2ND, 3S",699000,1/16/20
BAY RIDGE,49 74 STREET,2000000,1/17/20
BAY RIDGE,448 72ND STREET,1149000,1/17/20
BAY RIDGE,"67 BATTERY AVENUE, CC",245000,1/17/20
BEDFORD STUYVESANT,"337 NOSTRAND AVE, 401B",476580,1/17/20
BENSONHURST,1638 78TH STREET,128571,1/17/20
BENSONHURST,1421 85TH STREET,1320000,1/17/20
BOROUGH PARK,1119 42ND STREET,2100500,1/17/20
BOROUGH PARK,"6410 BAY PARKWAY, 4B",570000,1/17/20
BRIGHTON BEACH,"727 OCEAN VIEW AVENUE, A1",835000,1/17/20
BROWNSVILLE,103 AMBOY STREET,323000,1/17/20
BUSHWICK,603 KNICKERBOCKER AVENUE,1075000,1/17/20
BUSHWICK,79 WEIRFIELD STREET,415000,1/17/20
BUSHWICK,"6 RENAISSANCE COURT, 24A",599000,1/17/20
BUSHWICK,"301 COVERT STREET, 3D",501930,1/17/20
BUSHWICK,"768 HART STREET, 3R",525000,1/17/20
CANARSIE,589 EAST 81ST STREET,829000,1/17/20
COBBLE HILL-WEST,94 DEGRAW STREET,2350000,1/17/20
CROWN HEIGHTS,1691 CARROLL STREET,1075000,1/17/20
CROWN HEIGHTS,"345 MONTGOMERY STREET, 5P",500000,1/17/20
CROWN HEIGHTS,"954 BERGEN STREET, P4",30000,1/17/20
CYPRESS HILLS,18 FOLSOM PLACE,785400,1/17/20
CYPRESS HILLS,144 SHEPHERD AVENUE,770000,1/17/20
DOWNTOWN-FULTON FERRY,"1 MAIN STREET, 9L",2375000,1/17/20
DOWNTOWN-FULTON FERRY,"70 WASHINGTON STREET, 4V",1550000,1/17/20
DOWNTOWN-FULTON MALL,"265 STATE STREET, 1113",2100000,1/17/20
DYKER HEIGHTS,1341 86 STREET,900000,1/17/20
EAST NEW YORK,"971 JEROME STREET, 6H",350000,1/17/20
EAST NEW YORK,683 CLEVELAND STREET,101000,1/17/20
FLATBUSH-CENTRAL,80 RUGBY ROAD,2100000,1/17/20
FLATBUSH-CENTRAL,275 MARTENSE STREET,942900,1/17/20
FLATBUSH-CENTRAL,"1212 OCEAN AVENUE, 3H",115000,1/17/20
FLATBUSH-EAST,1228 NEW YORK AVENUE,765000,1/17/20
FLATBUSH-LEFFERTS GARDEN,176 STERLING STREET,1540000,1/17/20
FLATBUSH-LEFFERTS GARDEN,"373 LINCOLN ROAD, 2",915000,1/17/20
FLATBUSH-NORTH,"575 EAST NEW YORK AVENUE, 3B",770000,1/17/20
FLATLANDS,1573 EAST 48TH STREET,693000,1/17/20
FORT GREENE,165 CLERMONT AVENUE,489188,1/17/20
FORT GREENE,"175 WILLOUGHBY STREET, 2D",365000,1/17/20
GREENPOINT,"108 INDIA STREET, 3A",2495000,1/17/20
KENSINGTON,711 CHURCH AVENUE,950000,1/17/20
KENSINGTON,"190 EAST 7TH STREET, 3A",955119,1/17/20
KENSINGTON,"190 EAST 7TH STREET, P7",955119,1/17/20
KENSINGTON,"190 EAST 7TH STREET, S4",955119,1/17/20
MADISON,2126 EAST 21ST STREET,917000,1/17/20
MANHATTAN BEACH,29 WEST END AVENUE,870000,1/17/20
MARINE PARK,1820 EAST 35TH STREET,505000,1/17/20
MARINE PARK,2104-2106 FLATBUSH AVE,950000,1/17/20
MIDWOOD,"1577 EAST 17TH STREET, 5-C",298072,1/17/20
OCEAN HILL,1216 HERKIMER STREET,1310000,1/17/20
OCEAN PARKWAY-NORTH,289 E 8TH STREET,837000,1/17/20
OCEAN PARKWAY-NORTH,"495 E. 7TH STREET, 4D",347000,1/17/20
OLD MILL BASIN,5805 AVENUE N,600000,1/17/20
OLD MILL BASIN,"1805 EAST 53 STREET, 3F",293000,1/17/20
PARK SLOPE,"585 10TH STREET, 3",2371444,1/17/20
PARK SLOPE SOUTH,"550 5TH AVENUE, A-5",975000,1/17/20
PARK SLOPE SOUTH,"231 16TH STREET, 2A",785000,1/17/20
PROSPECT HEIGHTS,544 BERGEN STREET,1750000,1/17/20
SHEEPSHEAD BAY,2184 FORD STREET,695000,1/17/20
SHEEPSHEAD BAY,2338 EAST 18TH STREET,738000,1/17/20
SHEEPSHEAD BAY,"2330 VOORHIES AVENUE, 5M",450000,1/17/20
SHEEPSHEAD BAY,"2590 OCEAN AVENUE, 6B",697501,1/17/20
SHEEPSHEAD BAY,"3360 SHORE PARKWAY, 4A",498000,1/17/20
SHEEPSHEAD BAY,"2590 OCEAN AVENUE, PS6",697501,1/17/20
SUNSET PARK,637 61ST STREET,1430000,1/17/20
WINDSOR TERRACE,591 20TH STREET,332446,1/19/20
BEDFORD STUYVESANT,510 HALSEY STREET,950000,1/20/20
BEDFORD STUYVESANT,"81 DECATUR STREET, 4B",251500,1/20/20
CROWN HEIGHTS,813 BERGEN STREET,4746875,1/20/20
CROWN HEIGHTS,876 DEAN STREET,4746875,1/20/20
BATH BEACH,140 BAY 8 STREET,975000,1/21/20
BATH BEACH,1857 BENSON AVENUE,480000,1/21/20
BAY RIDGE,7001 LOUISE TERRACE,1150000,1/21/20
BAY RIDGE,7204 6TH AVENUE,1210000,1/21/20
BAY RIDGE,"9430 RIDGE BLVD, 4F",176000,1/21/20
BEDFORD STUYVESANT,"50 SKILLMAN STREET, 4A",915000,1/21/20
BENSONHURST,2034 77TH STREET,1632000,1/21/20
BOROUGH PARK,6409 15TH AVENUE,739999,1/21/20
BOROUGH PARK,1641 53RD STREET,2100000,1/21/20
BOROUGH PARK,4103 10TH AVENUE,980000,1/21/20
BOROUGH PARK,5511 11TH AVENUE,1850000,1/21/20
BOROUGH PARK,1269 45TH STREET,110000,1/21/20
BRIGHTON BEACH,"35 SEACOAST TERRACE, 2H",280000,1/21/20
BROWNSVILLE,819 SARATOGA AVENUE,735000,1/21/20
BROWNSVILLE,134 BLAKE AVENUE,195000,1/21/20
BUSHWICK,2 PILLING STREET,800000,1/21/20
BUSHWICK,1128 HALSEY STREET,1520000,1/21/20
BUSHWICK,307 CORNELIA STREET,3200000,1/21/20
BUSHWICK,"1257 JEFFERSON AVENUE, 3A",763688,1/21/20
CANARSIE,1189 EAST 96TH STREET,450000,1/21/20
CANARSIE,"1031 EAST 108TH STREET, CC",156156,1/21/20
CARROLL GARDENS,"79 1 PLACE, 2",1425000,1/21/20
COBBLE HILL,"58 STRONG PLACE, 1D",1715000,1/21/20
CROWN HEIGHTS,917 EASTERN PARKWAY,1200000,1/21/20
DOWNTOWN-FULTON MALL,"388 BRIDGE STREET, 44H",1685200,1/21/20
DOWNTOWN-METROTECH,"235 ADAMS STREET, 14B",345000,1/21/20
EAST NEW YORK,154 DOSCHER STREET,10,1/21/20
EAST NEW YORK,296 BERRIMAN STREET,486000,1/21/20
EAST NEW YORK,133 MILFORD STREET,498000,1/21/20
EAST NEW YORK,749 WILLIAMS AVENUE,550000,1/21/20
FLATBUSH-CENTRAL,"535 EAST 21ST STREET, 49",7000000,1/21/20
FLATBUSH-CENTRAL,"15 EAST 19TH STREET, 1D",490000,1/21/20
FLATBUSH-LEFFERTS GARDEN,"373 LINCOLN ROAD, 3",895000,1/21/20
FLATBUSH-NORTH,76 EAST 53RD STREET,925000,1/21/20
FLATBUSH-NORTH,376 ROCKAWAY PARKWAY,835000,1/21/20
GOWANUS,257 HOYT STREET,2750000,1/21/20
GRAVESEND,214 BAY 40TH STREET,1320000,1/21/20
GREENPOINT,204 NASSAU AVENUE,2300000,1/21/20
KENSINGTON,"233 OCEAN PARKWAY, 8B",985500,1/21/20
MADISON,"1750 EAST 14 STREET, #6F",260000,1/21/20
MADISON,"2485 OCEAN AVENUE, 7A",770000,1/21/20
MADISON,"2485 OCEAN AVENUE, P9",60000,1/21/20
MARINE PARK,3410 AVENUE T,690000,1/21/20
MIDWOOD,"915 EAST 17TH STREET, 107",400000,1/21/20
MIDWOOD,"1756 OCEAN AVENUE, 2B",680000,1/21/20
OCEAN PARKWAY-NORTH,"599 EAST 7TH STREET, 3M",260000,1/21/20
OLD MILL BASIN,2217 UTICA AVE,475000,1/21/20
PARK SLOPE,"218 LINCOLN PLACE, 5B",660000,1/21/20
PARK SLOPE,"195 GARFIELD PLACE, 2E",380000,1/21/20
RED HOOK,5 LUQUER STREET,1550000,1/21/20
SHEEPSHEAD BAY,"4665 BEDFORD AVENUE, 3B",329550,1/21/20
SHEEPSHEAD BAY,"1501 VOORHIES AVENUE, 26C",987703,1/21/20
SUNSET PARK,413 49TH STREET,1500000,1/21/20
SUNSET PARK,"695 6 AVENUE, 1A",675664,1/21/20
WILLIAMSBURG-EAST,233 JACKSON STREET,1510000,1/21/20
WILLIAMSBURG-EAST,402-404 JOHNSON AVENUE,3250000,1/21/20
WILLIAMSBURG-SOUTH,"138 BROADWAY, 3E",2000000,1/21/20
BATH BEACH,1573 BATH AVENUE,825000,1/22/20
BAY RIDGE,"255 79TH STREET, E1",384384,1/22/20
BAY RIDGE,"268 BAY RIDGE AVE, 3B",456300,1/22/20
BEDFORD STUYVESANT,104 MADISON STREET,2180000,1/22/20
BENSONHURST,1523 81ST STREET,1120000,1/22/20
BENSONHURST,8201 16TH AVENUE,1310000,1/22/20
BENSONHURST,1531 85TH STREET,999999,1/22/20
BOROUGH PARK,1459 47TH STREET,2999999,1/22/20
BOROUGH PARK,1710 46TH STREET,1650000,1/22/20
BOROUGH PARK,"1230 64 STREET, 2",690000,1/22/20
BRIGHTON BEACH,"125 OCEANA DRIVE EAST, PH1D",1700000,1/22/20
BRIGHTON BEACH,"52 BRIGHTON 1 PLACE, 1",560000,1/22/20
BRIGHTON BEACH,"52 BRIGHTON 1 PLACE, PS2",560000,1/22/20
BROOKLYN HEIGHTS,"250 HENRY STREET, 4A",680000,1/22/20
BROOKLYN HEIGHTS,"250 HENRY STREET, 4B",680000,1/22/20
CANARSIE,9918 AVENUE M,410000,1/22/20
CANARSIE,625 EAST 82ND STREET,725000,1/22/20
CANARSIE,1803 EAST 92ND,380000,1/22/20
CANARSIE,1440 EAST 84TH STREET,190000,1/22/20
CANARSIE,"1236 EAST 82ND STREET, 69",222000,1/22/20
CLINTON HILL,"185 HALL STREET, 1109",315000,1/22/20
COBBLE HILL,169 CONGRESS STREET,8000000,1/22/20
CONEY ISLAND,"2915 WEST 5TH STREET, 11F",430000,1/22/20
CROWN HEIGHTS,"954 BERGEN STREET, 6E",715000,1/22/20
CROWN HEIGHTS,"954 BERGEN STREET, P1",715000,1/22/20
CYPRESS HILLS,40 EUCLID AVE,652000,1/22/20
DOWNTOWN-METROTECH,"175 ADAMS STREET, 10D",325000,1/22/20
DOWNTOWN-METROTECH,"270 JAY STREET, 6A",350000,1/22/20
DOWNTOWN-METROTECH,"150 MYRTLE AVENUE, 3006",1860000,1/22/20
DOWNTOWN-METROTECH,"42 DUFFIELD STREET, 3B",880000,1/22/20
FLATBUSH-CENTRAL,2458 BEDFORD AVENUE,950000,1/22/20
FLATBUSH-CENTRAL,"15 EAST 19TH STREET, 3E",525000,1/22/20
FLATBUSH-CENTRAL,"631 EAST 18TH ST., 4A",559000,1/22/20
FLATBUSH-CENTRAL,"631 EAST 18TH ST., 4B",476580,1/22/20
FLATBUSH-EAST,3120 AVENUE L,785000,1/22/20
FLATBUSH-EAST,"3500 SNYDER AVENUE, 5T",247000,1/22/20
FLATBUSH-LEFFERTS GARDEN,397 FENIMORE STREET,1550000,1/22/20
FLATBUSH-NORTH,"310 LENOX ROAD, 7R",8839693,1/22/20
FLATBUSH-NORTH,"310 LENOX ROAD, 6P",8839693,1/22/20
FLATBUSH-NORTH,"310 LENOX ROAD, 6L",8839693,1/22/20
FLATBUSH-NORTH,"310 LENOX ROAD, 6K",8839693,1/22/20
FLATBUSH-NORTH,"310 LENOX ROAD, 6E",8839693,1/22/20
FLATBUSH-NORTH,"310 LENOX ROAD, 5J",8839693,1/22/20
FLATBUSH-NORTH,"310 LENOX ROAD, 5C",8839693,1/22/20
